symbol,company_name,sector,market_cap,headquarters,exchange
OFSS,Oracle Financial Services Software,Information Technology,,India,NSE
OIL,Oil India,Oil Gas & Consumable Fuels,,India,NSE
OLAELEC,Ola Electric Mobility,Automobile and Auto Components,,India,NSE
OLECTRA,Olectra Greentech,Automobile and Auto Components,,India,NSE
ONESOURCE,Onesource Specialty Pharma,Healthcare,,India,NSE
ONGC,Oil & Natural Gas Corporation,Oil Gas & Consumable Fuels,,India,NSE
PAGEIND,Page Industries,Textiles,,India,NSE
PATANJALI,Patanjali Foods,Fast Moving Consumer Goods,,India,NSE
PAYTM,One 97 Communications,Financial Services,,India,NSE
PCBL,PCBL Chemical,Chemicals,,India,NSE
PERSISTENT,Persistent Systems,Information Technology,,India,NSE
PETRONET,Petronet LNG,Oil Gas & Consumable Fuels,,India,NSE
PFC,Power Finance Corporation,Financial Services,,India,NSE
PFIZER,Pfizer,Healthcare,,India,NSE
PGEL,PG Electroplast,Consumer Durables,,India,NSE
PGHH,Procter & Gamble Hygiene & Health Care,Fast Moving Consumer Goods,,India,NSE
PHOENIXLTD,Phoenix Mills,Realty,,India,NSE
PIDILITIND,Pidilite Industries,Chemicals,,India,NSE
PIIND,PI Industries,Chemicals,,India,NSE
PNB,Punjab National Bank,Financial Services,,India,NSE
PNBHOUSING,PNB Housing Finance,Financial Services,,India,NSE
POLICYBZR,PB Fintech,Financial Services,,India,NSE
POLYCAB,Polycab India,Capital Goods,,India,NSE
POLYMED,Poly Medicure,Healthcare,,India,NSE
POONAWALLA,Poonawalla Fincorp,Financial Services,,India,NSE
POWERGRID,Power Grid Corporation of India,Power,,India,NSE
POWERINDIA,Hitachi Energy India,Capital Goods,,India,NSE
PPLPHARMA,Piramal Pharma,Healthcare,,India,NSE
PRAJIND,Praj Industries,Capital Goods,,India,NSE
PREMIERENE,Premier Energies,Capital Goods,,India,NSE
PRESTIGE,Prestige Estates Projects,Realty,,India,NSE
PTCIL,PTC Industries,Capital Goods,,India,NSE
PVRINOX,PVR INOX,Media Entertainment & Publication,,India,NSE
RADICO,Radico Khaitan,Fast Moving Consumer Goods,,India,NSE
RAILTEL,Railtel Corporation Of India,Telecommunication,,India,NSE
RAINBOW,Rainbow Childrens Medicare,Healthcare,,India,NSE
RAMCOCEM,The Ramco Cements,Construction Materials,,India,NSE
RBLBANK,RBL Bank,Financial Services,,India,NSE
RCF,Rashtriya Chemicals & Fertilizers,Chemicals,,India,NSE
RECLTD,REC,Financial Services,,India,NSE
REDINGTON,Redington,Services,,India,NSE
RELIANCE,Reliance Industries,Oil Gas & Consumable Fuels,,India,NSE
RELINFRA,Reliance Infrastructure,Power,,India,NSE
RHIM,RHI MAGNESITA INDIA,Capital Goods,,India,NSE
RITES,RITES,Construction,,India,NSE
RKFORGE,Ramkrishna Forgings,Automobile and Auto Components,,India,NSE
RPOWER,Reliance Power,Power,,India,NSE
RRKABEL,R R Kabel,Capital Goods,,India,NSE
RVNL,Rail Vikas Nigam,Construction,,India,NSE
SAGILITY,Sagility,Information Technology,,India,NSE
SAIL,Steel Authority of India,Metals & Mining,,India,NSE
SAILIFE,Sai Life Sciences,Healthcare,,India,NSE
SAMMAANCAP,Sammaan Capital,Financial Services,,India,NSE
SAPPHIRE,Sapphire Foods India,Consumer Services,,India,NSE
SARDAEN,Sarda Energy and Minerals,Metals & Mining,,India,NSE
SAREGAMA,Saregama India,Media Entertainment & Publication,,India,NSE
SBFC,SBFC Finance,Financial Services,,India,NSE
SBICARD,SBI Cards and Payment Services,Financial Services,,India,NSE
SBILIFE,SBI Life Insurance Company,Financial Services,,India,NSE
SBIN,State Bank of India,Financial Services,,India,NSE
SCHAEFFLER,Schaeffler India,Automobile and Auto Components,,India,NSE
SCHNEIDER,Schneider Electric Infrastructure,Capital Goods,,India,NSE
SCI,Shipping Corporation of India,Services,,India,NSE
SHREECEM,Shree Cement,Construction Materials,,India,NSE
SHRIRAMFIN,Shriram Finance,Financial Services,,India,NSE
SHYAMMETL,Shyam Metalics and Energy,Capital Goods,,India,NSE
SIEMENS,Siemens,Capital Goods,,India,NSE
SIGNATURE,Signatureglobal (India),Realty,,India,NSE
SJVN,SJVN,Power,,India,NSE
SKFINDIA,SKF India,Capital Goods,,India,NSE
SOBHA,Sobha,Realty,,India,NSE
SOLARINDS,Solar Industries India,Chemicals,,India,NSE
SONACOMS,Sona BLW Precision Forgings,Automobile and Auto Components,,India,NSE
SONATSOFTW,Sonata Software,Information Technology,,India,NSE
SRF,SRF,Chemicals,,India,NSE
STARHEALTH,Star Health and Allied Insurance Company,Financial Services,,India,NSE
SUMICHEM,Sumitomo Chemical India,Chemicals,,India,NSE
SUNDARMFIN,Sundaram Finance,Financial Services,,India,NSE
SUNDRMFAST,Sundram Fasteners,Automobile and Auto Components,,India,NSE
SUNPHARMA,Sun Pharmaceutical Industries,Healthcare,,India,NSE
SUNTV,Sun TV Network,Media Entertainment & Publication,,India,NSE
SUPREMEIND,Supreme Industries,Capital Goods,,India,NSE
SUZLON,Suzlon Energy,Capital Goods,,India,NSE
SWANCORP,Swan Corp,Chemicals,,India,NSE
SWIGGY,Swiggy,Consumer Services,,India,NSE
SYNGENE,Syngene International,Healthcare,,India,NSE
SYRMA,Syrma SGS Technology,Capital Goods,,India,NSE
TARIL,Transformers And Rectifiers (India),Capital Goods,,India,NSE
TATACHEM,Tata Chemicals,Chemicals,,India,NSE
TATACOMM,Tata Communications,Telecommunication,,India,NSE
TATACONSUM,Tata Consumer Products,Fast Moving Consumer Goods,,India,NSE
TATAELXSI,Tata Elxsi,Information Technology,,India,NSE
TATAINVEST,Tata Investment Corporation,Financial Services,,India,NSE
TATAMOTORS,Tata Motors,Automobile and Auto Components,,India,NSE
TATAPOWER,Tata Power Co.,Power,,India,NSE
TATASTEEL,Tata Steel,Metals & Mining,,India,NSE
TATATECH,Tata Technologies,Information Technology,,India,NSE
TBOTEK,TBO Tek,Consumer Services,,India,NSE
TCS,Tata Consultancy Services,Information Technology,,India,NSE
TECHM,Tech Mahindra,Information Technology,,India,NSE
TECHNOE,Techno Electric & Engineering Company,Construction,,India,NSE
TEJASNET,Tejas Networks,Telecommunication,,India,NSE
THELEELA,Schloss Bangalore,Consumer Services,,India,NSE
THERMAX,Thermax,Capital Goods,,India,NSE
TIINDIA,Tube Investments of India,Automobile and Auto Components,,India,NSE
TIMKEN,Timken India,Capital Goods,,India,NSE
TITAGARH,Titagarh Rail Systems,Capital Goods,,India,NSE
TITAN,Titan Company,Consumer Durables,,India,NSE
TORNTPHARM,Torrent Pharmaceuticals,Healthcare,,India,NSE
TORNTPOWER,Torrent Power,Power,,India,NSE
TRENT,Trent,Consumer Services,,India,NSE
TRIDENT,Trident,Textiles,,India,NSE
TRITURBINE,Triveni Turbine,Capital Goods,,India,NSE
TRIVENI,Triveni Engineering & Industries,Fast Moving Consumer Goods,,India,NSE
TTML,Tata Teleservices (Maharashtra),Telecommunication,,India,NSE
TVSMOTOR,TVS Motor Company,Automobile and Auto Components,,India,NSE
UBL,United Breweries,Fast Moving Consumer Goods,,India,NSE
UCOBANK,UCO Bank,Financial Services,,India,NSE
ULTRACEMCO,UltraTech Cement,Construction Materials,,India,NSE
UNIONBANK,Union Bank of India,Financial Services,,India,NSE
UNITDSPR,United Spirits,Fast Moving Consumer Goods,,India,NSE
